File_Name,Start_Time,End_Time,Duration_Seconds,Duration_Minutes,Duration_Hours
151649_NT_AL_AA,"2025-04-24 09:47:48,225","2025-04-24 10:31:53,301",2645.08,44.08,0.73
319089_NT_AL_AA,"2025-04-24 09:47:48,288","2025-04-24 10:47:23,650",3575.36,59.59,0.99
83987_NT_AL_AA,"2025-04-24 09:47:52,547","2025-04-24 12:48:02,199",10809.65,180.16,3.00
168090_NT_AL_AA,"2025-04-24 09:47:48,364","2025-04-24 10:29:23,858",2495.49,41.59,0.69
84886_NT_AL_AA,"2025-04-24 09:47:52,475","2025-04-24 12:00:19,463",7946.99,132.45,2.21
100129271_NT_AL_AA,"2025-04-24 09:47:48,224","2025-04-24 10:23:51,164",2162.94,36.05,0.60
148870_NT_AL_AA,"2025-04-24 09:47:48,215","2025-04-24 10:28:05,728",2417.51,40.29,0.67
64759_NT_AL_AA,"2025-04-24 09:47:52,407","2025-04-24 12:03:40,169",8147.76,135.80,2.26
164592_NT_AL_AA,"2025-04-24 09:47:48,272","2025-04-24 10:28:41,244",2452.97,40.88,0.68
65250_NT_AL_AA,"2025-04-24 09:47:52,348","2025-04-24 12:38:30,588",10238.24,170.64,2.84
374654_NT_AL_AA,"2025-04-24 09:47:52,544","2025-04-24 10:07:28,364",1175.82,19.60,0.33
54102_NT_AL_AA,"2025-04-24 09:47:52,342","2025-04-24 12:28:52,611",9660.27,161.00,2.68
84074_NT_AL_AA,"2025-04-24 09:47:52,465","2025-04-24 12:34:25,907",9993.44,166.56,2.78
57597_NT_AL_AA,"2025-04-24 09:47:52,831","2025-04-24 12:36:50,080",10137.25,168.95,2.82
2523_NT_AL_AA,"2025-04-24 09:47:48,294","2025-04-24 10:26:52,119",2343.82,39.06,0.65
139378_NT_AL_AA,"2025-04-24 09:47:48,288","2025-04-24 10:31:27,594",2619.31,43.66,0.73
283643_NT_AL_AA,"2025-04-24 09:47:48,248","2025-04-24 10:24:32,704",2204.46,36.74,0.61
128061_NT_AL_AA,"2025-04-24 09:47:48,283","2025-04-24 11:14:17,558",5189.27,86.49,1.44
22994_NT_AL_AA,"2025-04-24 09:47:48,252","2025-04-24 10:33:25,258",2737.01,45.62,0.76
3665_NT_AL_AA,"2025-04-24 09:47:52,351","2025-04-24 09:54:12,033",379.68,6.33,0.11
7984_NT_AL_AA,"2025-04-24 09:47:53,062","2025-04-24 12:48:42,165",10849.10,180.82,3.01
100130274_NT_AL_AA,"2025-04-24 09:47:48,298","2025-04-24 10:36:22,380",2914.08,48.57,0.81
51252_NT_AL_AA,"2025-04-24 09:47:52,335","2025-04-24 09:54:38,837",406.50,6.78,0.11
4851_NT_AL_AA,"2025-04-24 09:47:52,548","2025-04-24 10:27:23,481",2370.93,39.52,0.66
342125_NT_AL_AA,"2025-04-24 09:47:52,336","2025-04-24 10:04:18,202",985.87,16.43,0.27
256815_NT_AL_AA,"2025-04-24 09:47:48,288","2025-04-24 10:28:18,295",2430.01,40.50,0.68
121006_NT_AL_AA,"2025-04-24 09:47:48,213","2025-04-24 10:53:20,534",3932.32,65.54,1.09
1816_NT_AL_AA,"2025-04-24 09:47:48,288","2025-04-24 10:28:41,244",2452.96,40.88,0.68
84689_NT_AL_AA,"2025-04-24 09:47:52,349","2025-04-24 12:14:19,132",8786.78,146.45,2.44
63901_NT_AL_AA,"2025-04-24 09:47:52,631","2025-04-24 12:42:16,043",10463.41,174.39,2.91
90381_NT_AL_AA,"2025-04-24 09:47:52,334","2025-04-24 11:58:51,446",7859.11,130.99,2.18
399693_NT_AL_AA,"2025-04-24 09:47:52,559","2025-04-24 09:57:03,973",551.41,9.19,0.15
57188_NT_AL_AA,"2025-04-24 09:47:52,348","2025-04-24 12:32:37,761",9885.41,164.76,2.75
91752_NT_AL_AA,"2025-04-24 09:48:22,956","2025-04-24 11:48:37,599",7214.64,120.24,2.00
2515_NT_AL_AA,"2025-04-24 09:47:48,273","2025-04-24 10:26:06,900",2298.63,38.31,0.64
11173_NT_AL_AA,"2025-04-24 09:47:48,298","2025-04-24 10:59:19,979",4291.68,71.53,1.19
26153_NT_AL_AA,"2025-04-24 09:47:48,213","2025-04-24 10:37:04,423",2956.21,49.27,0.82
26505_NT_AL_AA,"2025-04-24 09:47:48,273","2025-04-24 10:31:27,593",2619.32,43.66,0.73
238_NT_AL_AA,"2025-04-24 09:47:48,224","2025-04-24 10:40:57,364",3189.14,53.15,0.89
11095_NT_AL_AA,"2025-04-24 09:47:48,217","2025-04-24 11:57:25,993",7777.78,129.63,2.16
79925_NT_AL_AA,"2025-04-24 09:47:52,465","2025-04-24 12:48:57,970",10865.50,181.09,3.02
3603_NT_AL_AA,"2025-04-24 09:47:52,361","2025-04-24 09:58:58,038",665.68,11.09,0.18
64434_NT_AL_AA,"2025-04-24 09:47:53,305","2025-04-24 12:03:40,169",8146.86,135.78,2.26
100131017_NT_AL_AA,"2025-04-24 09:47:48,215","2025-04-24 11:21:00,599",5592.38,93.21,1.55
1609_NT_AL_AA,"2025-04-24 09:47:48,282","2025-04-24 10:32:44,177",2695.89,44.93,0.75
1539_NT_AL_AA,"2025-04-24 09:47:48,294","2025-04-24 10:26:47,641",2339.35,38.99,0.65
3454_NT_AL_AA,"2025-04-24 09:47:53,625","2025-04-24 09:54:30,272",396.65,6.61,0.11
